ID,OHID,OOID,STID,SourceID,EventValue,Duration,GeneratedFrom,GeneratedBy,ReferenceID,TimestampEvent,TimestampCreation
166,286,1,2,BH14,5,226,MAC_EventPressa,svBAbetriebsart,8,2018-02-28 16:20:15,2018-03-04 11:02:23.490000000
167,286,1,2,BH14,3,31,MAC_EventPressa,svBAbetriebsart,22,2018-02-28 16:24:01,2018-03-04 11:02:24.333000000
168,286,1,2,BH14,5,1054,MAC_EventPressa,svBAbetriebsart,23,2018-02-28 16:24:32,2018-03-04 11:02:25.207000000
169,286,1,2,BH14,4,22,MAC_EventPressa,svBAbetriebsart,93,2018-02-28 16:42:06,2018-03-04 11:02:25.930000000
170,286,1,2,BH14,3,4,MAC_EventPressa,svBAbetriebsart,94,2018-02-28 16:42:28,2018-03-04 11:02:26.527000000
171,286,1,2,BH14,2,596,MAC_EventPressa,svBAbetriebsart,95,2018-02-28 16:42:32,2018-03-04 11:02:27.130000000
172,286,1,2,BH14,1,510,MAC_EventPressa,svBAbetriebsart,96,2018-02-28 16:52:28,2018-03-04 11:02:27.697000000
173,286,1,2,BH14,2,1,MAC_EventPressa,svBAbetriebsart,97,2018-02-28 17:00:58,2018-03-04 11:02:28.260000000
174,286,1,2,BH14,3,25,MAC_EventPressa,svBAbetriebsart,98,2018-02-28 17:00:59,2018-03-04 11:02:28.997000000
175,286,1,2,BH14,5,14302,MAC_EventPressa,svBAbetriebsart,99,2018-02-28 17:01:24,2018-03-04 11:02:29.573000000
176,286,1,2,BH14,4,25,MAC_EventPressa,svBAbetriebsart,1071,2018-02-28 20:59:46,2018-03-04 11:02:30.183000000
177,286,1,2,BH14,2,27,MAC_EventPressa,svBAbetriebsart,1074,2018-02-28 21:00:11,2018-03-04 11:02:30.793000000
178,286,1,2,BH14,3,91,MAC_EventPressa,svBAbetriebsart,1075,2018-02-28 21:00:38,2018-03-04 11:02:31.387000000
179,286,1,2,BH14,1,3,MAC_EventPressa,svBAbetriebsart,1076,2018-02-28 21:02:09,2018-03-04 11:02:31.997000000
180,286,1,2,BH14,0,94,MAC_EventPressa,svBAbetriebsart,1077,2018-02-28 21:02:12,2018-03-04 11:02:33.090000000
181,286,1,2,BH14,1,5,MAC_EventPressa,svBAbetriebsart,1078,2018-02-28 21:03:46,2018-03-04 11:02:34.380000000
182,286,1,2,BH14,2,31,MAC_EventPressa,svBAbetriebsart,1079,2018-02-28 21:03:51,2018-03-04 11:02:35.740000000
183,286,1,2,BH14,3,21,MAC_EventPressa,svBAbetriebsart,1080,2018-02-28 21:04:22,2018-03-04 11:02:37.003000000
184,286,1,2,BH14,2,66,MAC_EventPressa,svBAbetriebsart,1081,2018-02-28 21:04:43,2018-03-04 11:02:38.230000000
185,286,1,2,BH14,3,30,MAC_EventPressa,svBAbetriebsart,1082,2018-02-28 21:05:49,2018-03-04 11:02:38.853000000
186,286,1,2,BH14,2,42,MAC_EventPressa,svBAbetriebsart,1083,2018-02-28 21:06:19,2018-03-04 11:02:39.510000000
187,286,1,2,BH14,3,10,MAC_EventPressa,svBAbetriebsart,1084,2018-02-28 21:07:01,2018-03-04 11:02:40.143000000
188,286,1,2,BH14,2,151,MAC_EventPressa,svBAbetriebsart,1085,2018-02-28 21:07:11,2018-03-04 11:02:40.847000000
189,286,1,2,BH14,3,287,MAC_EventPressa,svBAbetriebsart,1086,2018-02-28 21:09:42,2018-03-04 11:02:41.923000000
190,286,1,2,BH14,5,4254,MAC_EventPressa,svBAbetriebsart,1088,2018-02-28 21:14:29,2018-03-04 11:02:42.627000000
191,286,1,2,BH14,3,225,MAC_EventPressa,svBAbetriebsart,1371,2018-02-28 22:25:23,2018-03-04 11:02:43.300000000
192,286,1,2,BH14,5,3829,MAC_EventPressa,svBAbetriebsart,1372,2018-02-28 22:29:08,2018-03-04 11:02:44.470000000
193,286,1,2,BH14,3,429,MAC_EventPressa,svBAbetriebsart,1631,2018-02-28 23:32:57,2018-03-04 11:02:45.110000000
194,286,1,2,BH14,5,2577,MAC_EventPressa,svBAbetriebsart,1633,2018-02-28 23:40:06,2018-03-04 11:02:46.487000000
195,286,1,2,BH14,5,3956,MAC_EventPressa,svBAbetriebsart,2,2018-03-01 00:23:03,2018-03-04 11:02:47.160000000
196,286,1,2,BH14,4,8,MAC_EventPressa,svBAbetriebsart,2111,2018-03-01 01:28:59,2018-03-04 11:02:47.847000000
197,286,1,2,BH14,3,5,MAC_EventPressa,svBAbetriebsart,2112,2018-03-01 01:29:07,2018-03-04 11:02:48.800000000
198,286,1,2,BH14,2,1,MAC_EventPressa,svBAbetriebsart,2113,2018-03-01 01:29:12,2018-03-04 11:02:49.487000000
199,286,1,2,BH14,1,1901,MAC_EventPressa,svBAbetriebsart,2114,2018-03-01 01:29:13,2018-03-04 11:02:50.173000000
200,286,1,2,BH14,2,10,MAC_EventPressa,svBAbetriebsart,2115,2018-03-01 02:00:54,2018-03-04 11:02:51.190000000
201,286,1,2,BH14,3,81,MAC_EventPressa,svBAbetriebsart,2116,2018-03-01 02:01:04,2018-03-04 11:02:52.070000000
202,286,1,2,BH14,5,470,MAC_EventPressa,svBAbetriebsart,2117,2018-03-01 02:02:25,2018-03-04 11:02:52.770000000
203,286,1,2,BH14,3,57,MAC_EventPressa,svBAbetriebsart,2136,2018-03-01 02:10:15,2018-03-04 11:02:53.520000000
204,286,1,2,BH14,5,5063,MAC_EventPressa,svBAbetriebsart,2137,2018-03-01 02:11:12,2018-03-04 11:02:54.337000000
205,286,1,2,BH14,3,451,MAC_EventPressa,svBAbetriebsart,2480,2018-03-01 03:35:35,2018-03-04 11:02:55.070000000
206,286,1,2,BH14,5,420,MAC_EventPressa,svBAbetriebsart,2482,2018-03-01 03:43:06,2018-03-04 11:02:56.167000000
207,286,1,2,BH14,3,130,MAC_EventPressa,svBAbetriebsart,2509,2018-03-01 03:50:06,2018-03-04 11:02:56.840000000
208,286,1,2,BH14,5,128,MAC_EventPressa,svBAbetriebsart,2511,2018-03-01 03:52:16,2018-03-04 11:02:57.887000000
209,286,1,2,BH14,4,2,MAC_EventPressa,svBAbetriebsart,2519,2018-03-01 03:54:24,2018-03-04 11:02:58.610000000
210,286,1,2,BH14,3,601,MAC_EventPressa,svBAbetriebsart,2520,2018-03-01 03:54:26,2018-03-04 11:02:59.347000000
211,286,1,2,BH14,1,386,MAC_EventPressa,svBAbetriebsart,2521,2018-03-01 04:04:27,2018-03-04 11:03:00.367000000
212,286,1,2,BH14,0,1123,MAC_EventPressa,svBAbetriebsart,2522,2018-03-01 04:10:53,2018-03-04 11:03:01.227000000
213,286,1,2,BH14,1,503,MAC_EventPressa,svBAbetriebsart,2523,2018-03-01 04:29:36,2018-03-04 11:03:02.007000000
214,286,1,2,BH14,2,281,MAC_EventPressa,svBAbetriebsart,2524,2018-03-01 04:37:59,2018-03-04 11:03:03.043000000
215,286,1,2,BH14,3,84,MAC_EventPressa,svBAbetriebsart,2525,2018-03-01 04:42:40,2018-03-04 11:03:04.190000000
216,286,1,2,BH14,2,1,MAC_EventPressa,svBAbetriebsart,2526,2018-03-01 04:44:04,2018-03-04 11:03:04.923000000
217,286,1,2,BH14,3,5,MAC_EventPressa,svBAbetriebsart,2527,2018-03-01 04:44:05,2018-03-04 11:03:05.670000000
218,286,1,2,BH14,2,25,MAC_EventPressa,svBAbetriebsart,2528,2018-03-01 04:44:10,2018-03-04 11:03:06.407000000
