ID,NodeID,Description,Type,ParentID,TimestampCreation,TimestampUpdate
1,SCARTO,Scarti,GROUP,,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
2,GUASTI,Fermi Tecnici,GROUP,,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
3,MANPREV,Manutenzione Preventiva,GROUP,,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
4,FRMORG,Fermi Organizzativi,GROUP,,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
5,SETUP,Attrezzaggio,GROUP,,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
6,S01,Ammaccature,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
7,S02,Ammanchi materiale,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
8,S03,Rotture da stampo,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
9,S04,Bave da stampo,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
10,S05,Criccature,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
11,S06,Errori dimensionali,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
12,S07,Ritiri/Zone Fredde,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
13,S08,Bolle e/o vesciche da fusione,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
14,S09,Metallizzazioni,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
15,S10,Altro,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
16,S11,Nessun difetto,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
17,S12,Bassa pressione,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
18,S13,Fuori tolleranza,CAUSAL,1,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
19,F0501,Anime bilanc euro,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
20,F0502,Anime lente,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
21,F0503,Attrezzeria assente (h17-h8),CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
22,F0504,Barriere trancia,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
23,F0505,Carica azoto,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
24,F0506,Carro grippato,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
25,F0507,Centralina s.stampi,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
26,F0508,Energia elettrica,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
27,F0509,Forno - bocca di carico,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
28,F0510,Forno - cono di carico,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
29,F0511,Forno - cono di risalita,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
30,F0512,Fotocellule,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
31,F0513,Idraulica - gruppo chiusura,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
32,F0514,Idraulica - gruppo iniezione,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
33,F0515,Idraulica - pompa,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
34,F0516,Idraulica - sovratemp olio,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
35,F0517,Impianto distaccante,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
36,F0518,Iniezione irreg,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
37,F0519,Inserimento magazzino,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
38,F0520,Lubrif pistone,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
39,F0521,Lubrificatore,CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
40,F0522,Macchina senza olio (aggiunta),CAUSAL,2,2018-03-04 12:34:24.477000000,2018-03-04 12:34:24.477000000
