ID|SourceID|MessageID|Type|PW_F_LCTR|PW_L_B|PW_P_IMMAX|PW_S_PRE|PW_T_CYC|PW_T_F|PW_T_SUM|PW_V_CF|Timestamp|TimestampMessage|TimestampCreation
4|BH14|3c4c56a6-094d-4763-a377-fa8e11862baa|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 04:34:47|2018-03-05 03:34:46|2018-03-05 04:34:47.957000000
5|BH14|3c4c56a6-094d-4763-a377-fa8e11862baa|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 04:34:47|2018-03-05 03:34:46|2018-03-05 04:34:47.990000000
6|BH14|3c4c56a6-094d-4763-a377-fa8e11862baa|UPPER|600000|10|300|10|10|0.014999999665|0.014999999665|1|2018-03-05 04:34:47|2018-03-05 03:34:46|2018-03-05 04:34:48.003000000
7|BH14|41cf14b1-e03b-4baa-9ab7-5924bd0045c1|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 04:53:56|2018-03-05 03:53:56|2018-03-05 04:53:56.910000000
8|BH14|41cf14b1-e03b-4baa-9ab7-5924bd0045c1|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 04:53:56|2018-03-05 03:53:56|2018-03-05 04:53:56.927000000
9|BH14|41cf14b1-e03b-4baa-9ab7-5924bd0045c1|UPPER|600000|10|300|10|10|0.014999999665|0.014999999665|1|2018-03-05 04:53:56|2018-03-05 03:53:56|2018-03-05 04:53:56.943000000
10|BH14|1b9ebaf2-b166-49c4-90e5-946ba228150b|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 05:59:33|2018-03-05 04:59:32|2018-03-05 05:59:33.553000000
11|BH14|1b9ebaf2-b166-49c4-90e5-946ba228150b|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 05:59:33|2018-03-05 04:59:32|2018-03-05 05:59:33.570000000
12|BH14|1b9ebaf2-b166-49c4-90e5-946ba228150b|UPPER|600000|10|300|10|10|0.014999999665|0.014999999665|1|2018-03-05 05:59:33|2018-03-05 04:59:32|2018-03-05 05:59:33.583000000
13|BH14|9ab56d58-9beb-47ec-a9d4-82e53e552f48|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 08:10:42|2018-03-05 07:10:42|2018-03-05 08:10:42.880000000
14|BH14|9ab56d58-9beb-47ec-a9d4-82e53e552f48|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 08:10:42|2018-03-05 07:10:42|2018-03-05 08:10:42.910000000
15|BH14|9ab56d58-9beb-47ec-a9d4-82e53e552f48|UPPER|600000|10|300|10|10|0.014999999665|0.014999999665|1|2018-03-05 08:10:42|2018-03-05 07:10:42|2018-03-05 08:10:42.927000000
16|BH14|aa60af39-ba63-4b5d-baab-3a2db3bcc876|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 09:43:25|2018-03-05 08:43:24|2018-03-05 09:43:25.760000000
17|BH14|aa60af39-ba63-4b5d-baab-3a2db3bcc876|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 09:43:25|2018-03-05 08:43:24|2018-03-05 09:43:25.777000000
18|BH14|aa60af39-ba63-4b5d-baab-3a2db3bcc876|UPPER|600000|10|300|10|10|0.014999999665|0.014999999665|1|2018-03-05 09:43:25|2018-03-05 08:43:24|2018-03-05 09:43:25.793000000
19|BH14|c985581a-894b-42b2-bd5b-cd5a26fa770e|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 09:44:12|2018-03-05 08:44:12|2018-03-05 09:44:12.850000000
20|BH14|c985581a-894b-42b2-bd5b-cd5a26fa770e|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 09:44:12|2018-03-05 08:44:12|2018-03-05 09:44:12.867000000
21|BH14|c985581a-894b-42b2-bd5b-cd5a26fa770e|UPPER|600000|10|300|10|10|0.014999999665|0.014999999665|1|2018-03-05 09:44:12|2018-03-05 08:44:12|2018-03-05 09:44:12.880000000
22|BH14|dfbf5b21-041b-4978-9533-87547b7ff4de|LOWER|600000|6|50|10|5|0.029999999329|0.025000000373|0.5|2018-03-05 11:54:58|2018-03-05 10:54:58|2018-03-05 11:54:58.580000000
23|BH14|dfbf5b21-041b-4978-9533-87547b7ff4de|NOMINAL|8900000|20|950|10|43|0.029999999329|0.025000000373|3.650000095367|2018-03-05 11:54:58|2018-03-05 10:54:58|2018-03-05 11:54:58.593000000
